feed,title,long_url,short_url
LitCovid,"How did ""flatten the curve"" become ""flatten the economy?"" A perspective from the United States of America",https://pubmed.ncbi.nlm.nih.gov/32732175,
LitCovid,The crisis standard of care: Considerations for risk management,https://pubmed.ncbi.nlm.nih.gov/32734687,
LitCovid,Impact of the pandemic on cancer care: Lessons learnt from a rural cancer center in the first 3 months,https://pubmed.ncbi.nlm.nih.gov/32734609,
LitCovid,"Health, housing, and 'direct threats' during a pandemic",https://pubmed.ncbi.nlm.nih.gov/32733686,
LitCovid,NICE public health guidance update,https://pubmed.ncbi.nlm.nih.gov/32735011,
LitCovid,Seasonal influenza vaccination during a pandemic,https://pubmed.ncbi.nlm.nih.gov/32735161,
LitCovid,[Statutory obligations of a doctor in the field of prevention and control of infectious diseases],https://pubmed.ncbi.nlm.nih.gov/32731721,
LitCovid,"We Can Do Better: Why Pastoral Care Visitation to Hospitals is Essential, Especially in Times of Crisis",https://pubmed.ncbi.nlm.nih.gov/32734516,
LitCovid,Indemnifying precaution: economic insights for regulation of a highly infectious disease,https://pubmed.ncbi.nlm.nih.gov/32733690,
LitCovid,"[Fever, loss of vision and acute promyelocytic leukemia at the pandemic ward]",https://pubmed.ncbi.nlm.nih.gov/32734862,
LitCovid,Epistemic responsibility in the face of a pandemic,https://pubmed.ncbi.nlm.nih.gov/32733691,
LitCovid,Research ethics in a pandemic: considerations for the use of research infrastructure and resources for public health activities,https://pubmed.ncbi.nlm.nih.gov/32733688,
LitCovid,Should virus-naming rules change during a pandemic? The question divides virologists,https://pubmed.ncbi.nlm.nih.gov/32733098,
LitCovid,Characterization of changes in global gene expression in the hearts and kidneys of transgenic mice overexpressing human angiotensin-converting enzyme 2,https://pubmed.ncbi.nlm.nih.gov/32733785,
LitCovid,AGA Institute Rapid Review and Recommendations on the Role of Pre-Procedure SARS-CoV2 Testing and Endoscopy,https://pubmed.ncbi.nlm.nih.gov/32735862,
LitCovid,Viral Evasion of the Complement System and Its Importance for Vaccines and Therapeutics,https://pubmed.ncbi.nlm.nih.gov/32733480,
LitCovid,Innovation policy and the market for vaccines,https://pubmed.ncbi.nlm.nih.gov/32733687,
LitCovid,Network perturbation analysis in human bronchial epithelial cells following SARS-CoV2 infection,https://pubmed.ncbi.nlm.nih.gov/32735892,
LitCovid,The Roles of GRKs in Hemostasis and Thrombosis,https://pubmed.ncbi.nlm.nih.gov/32731360,
LitCovid,Topoisomerase III-ss is required for efficient replication of positive-sense RNA viruses,https://pubmed.ncbi.nlm.nih.gov/32735900,
LitCovid,Role of Autophagy in Lung Inflammation,https://pubmed.ncbi.nlm.nih.gov/32733448,
LitCovid,Secondary Bacterial Infections During Pulmonary Viral Disease: Phage Therapeutics as Alternatives to Antibiotics?,https://pubmed.ncbi.nlm.nih.gov/32733404,
LitCovid,Point-of-care and utility in clinical trials: making quicker decisions to transform patient care and drug development,https://pubmed.ncbi.nlm.nih.gov/32735127,
LitCovid,[The implications of reducing elective activity in hospitals during the Corona crisis Insights following a webinar sponsored by the Assuta Health Services Research Institute],https://pubmed.ncbi.nlm.nih.gov/32720762,
