feed,title,long_url,short_url
ArXiv,Theory of Mind for Deep Reinforcement Learning in Hanabi,https://arxiv.org/abs/2101.09328v1,
ArXiv,Feature Selection Using Reinforcement Learning,https://arxiv.org/abs/2101.09460v1,
ArXiv,GST: Group-Sparse Training for Accelerating Deep Reinforcement Learning,https://arxiv.org/abs/2101.09650v1,
ArXiv,Fast Sequence Generation with Multi-Agent Reinforcement Learning,https://arxiv.org/abs/2101.09698v1,
ArXiv,Learning Synthetic Environments for Reinforcement Learning with Evolution Strategies,https://arxiv.org/abs/2101.09721v1,
ArXiv,ECOL-R: Encouraging Copying in Novel Object Captioning with Reinforcement Learning,https://arxiv.org/abs/2101.09865v1,
ArXiv,Optimizing thermodynamic trajectories using evolutionary and gradient-based reinforcement learning,https://arxiv.org/abs/1903.08543v2,
ArXiv,Collision Avoidance in Pedestrian-Rich Environments with Deep Reinforcement Learning,https://arxiv.org/abs/1910.11689v4,
ArXiv,Safe non-smooth black-box optimization with application to policy search,https://arxiv.org/abs/1912.09466v4,
ArXiv,Deep Reinforcement Learning for Autonomous Driving: A Survey,https://arxiv.org/abs/2002.00444v2,
ArXiv,Certifiable Robustness to Adversarial State Uncertainty in Deep Reinforcement Learning,https://arxiv.org/abs/2004.06496v4,
ArXiv,Shared Experience Actor-Critic for Multi-Agent Reinforcement Learning,https://arxiv.org/abs/2006.07169v3,
ArXiv,Partially Observable Mean Field Reinforcement Learning,https://arxiv.org/abs/2012.15791v3,
