feed,title,long_url,short_url
ArXiv:Datasets,An Innovative Tool for Uploading/Scraping Large Image Datasets on Social Networks,https://arxiv.org/abs/2311.09237v1,
ArXiv:Datasets,Reading Between the Mud: A Challenging Motorcycle Racer Number Dataset,https://arxiv.org/abs/2311.09256v1,
ArXiv:Datasets,Leveraging Citizen Science for Flood Extent Detection using Machine Learning Benchmark Dataset,https://arxiv.org/abs/2311.09276v1,
ArXiv:Datasets,LePaRD: A Large-Scale Dataset of Judges Citing Precedents,https://arxiv.org/abs/2311.09356v1,
ArXiv:Datasets,Subtle Misogyny Detection and Mitigation: An Expert-Annotated Dataset,https://arxiv.org/abs/2311.09443v1,
ArXiv:Datasets,HelpSteer: Multi-attribute Helpfulness Dataset for SteerLM,https://arxiv.org/abs/2311.09528v1,
ArXiv:Datasets,FunctionMarker: Watermarking Language Datasets via Knowledge Injection,https://arxiv.org/abs/2311.09535v1,
ArXiv:Datasets,Utilizing dataset affinity prediction in object detection to assess training data,https://arxiv.org/abs/2311.09768v1,
ArXiv:Datasets,Towards Robust Temporal Reasoning of Large Language Models via a Multi-Hop QA Dataset and Pseudo-Instruction Tuning,https://arxiv.org/abs/2311.09821v1,
ArXiv:Datasets,"GSAP-NER: A Novel Task, Corpus, and Baseline for Scholarly Entity Extraction Focused on Machine Learning Models and Datasets",https://arxiv.org/abs/2311.09860v1,
ArXiv:Datasets,AmQA: Amharic Question Answering Dataset,https://arxiv.org/abs/2303.03290v2,
ArXiv:Datasets,Loss Modeling for Multi-Annotator Datasets,https://arxiv.org/abs/2311.00619v2,
ArXiv:Datasets,Construction Artifacts in Metaphor Identification Datasets,https://arxiv.org/abs/2311.00790v2,
