feed,title,long_url,short_url
ArXiv:econ,Ergodic Annealing,https://arxiv.org/abs/2008.00234v1,
ArXiv:econ,"Male Earnings Volatility in LEHD before, during, and after the Great Recession",https://arxiv.org/abs/2008.00253v1,
ArXiv:econ,Simpler Proofs for Approximate Factor Models of Large Dimensions,https://arxiv.org/abs/2008.00254v1,
ArXiv:econ,What can we learn about SARS-CoV-2 prevalence from testing and hospital data?,https://arxiv.org/abs/2008.00298v1,
ArXiv:econ,"Fair Allocation of Vaccines, Ventilators and Antiviral Treatments: Leaving No Ethical Value Behind in Health Care Rationing",https://arxiv.org/abs/2008.00374v1,
ArXiv:econ,Robust Sequential Search,https://arxiv.org/abs/2008.00502v1,
ArXiv:econ,Design-Based Uncertainty for Quasi-Experiments,https://arxiv.org/abs/2008.00602v1,
ArXiv:econ,A spatial multinomial logit model for analysing urban expansion,https://arxiv.org/abs/2008.00673v1,
ArXiv:econ,Estimating TVP-VAR models with time invariant long-run multipliers,https://arxiv.org/abs/2008.00718v1,
ArXiv:econ,Testing error distribution by kernelized Stein discrepancy in multivariate time series models,https://arxiv.org/abs/2008.00747v1,
ArXiv:econ,Testing Semi-Strong Form Efficiency of the Prewar Japanese Stock Market,https://arxiv.org/abs/2008.00860v1,
ArXiv:econ,Existence and uniqueness of recursive utilities without boundedness,https://arxiv.org/abs/2008.00963v1,
ArXiv:econ,Locally Robust Semiparametric Estimation,https://arxiv.org/abs/1608.00033v4,
ArXiv:econ,Pricing under Fairness Concerns,https://arxiv.org/abs/1904.05656v4,
ArXiv:econ,Inference in Differences-in-Differences: How Much Should We Trust in Independent Clusters?,https://arxiv.org/abs/1909.01782v4,
ArXiv:econ,Bootstrap Inference for Quantile Treatment Effects in Randomized Experiments with Matched Pairs,https://arxiv.org/abs/2005.11967v2,
ArXiv:econ,Digital Currency and Economic Crises: Helping States Respond,https://arxiv.org/abs/2006.03023v3,
ArXiv:econ,Forecasting with Bayesian Grouped Random Effects in Panel Data,https://arxiv.org/abs/2007.02435v3,
ArXiv:econ,Equilibrium Behaviors in Reputation Games,https://arxiv.org/abs/2007.14002v2,
