feed,title,long_url,short_url
YT:TheFitnessMaverick,Rack Leg Extension with Band | The Fitness Maverick Online Coaching,https://youtu.be/KmiXLS4XTVQ,
YT:TheFitnessMaverick,Band TKE's | The Fitness Maverick Online Coaching,https://youtu.be/zHWvT9slK1s,
YT:TheFitnessMaverick,Neutral Grip DB Shoulder Press | The Fitness Maverick Online Coaching,https://youtu.be/hhI46ksOhLA,
YT:TheFitnessMaverick,Rolling Triceps Extension (one dumbbell),https://youtu.be/PsRFqC17mnA,
YT:TheFitnessMaverick,Rolling Triceps Extension (two dumbbells),https://youtu.be/sT-HJOVKgT0,
YT:TheFitnessMaverick,Lying Hamstring Curl One and One Quarter | The Fitness Maverick Online Coaching,https://youtu.be/ATZOJtlnpEQ,
YT:TheFitnessMaverick,Leg Extension Iso Holds | The Fitness Maverick Online Coaching,https://youtu.be/LRerTKOw1y0,
YT:TheFitnessMaverick,Feet Together Leg Extension | The Fitness Maverick Online Coaching,https://youtu.be/bs3H13N6waw,
YT:TheFitnessMaverick,Heels Elevated Trap Bar Deadlift | The Fitness Maverick Online Coaching,https://youtu.be/RBz38VchzRE,
YT:TheFitnessMaverick,Trap Bar Deadlift (high handles) | The Fitness Maverick Online Coaching,https://youtu.be/Why15PjMidM,
YT:TheFitnessMaverick,FFE Split Squats | The Fitness Maverick Online Coaching,https://youtu.be/Y5I_Lsb_lzA,
YT:TheFitnessMaverick,"30 Incline DB Bench Press, Pronating Grip | The Fitness Maverick Online Coaching",https://youtu.be/VMWnSIE_-gk,
YT:TheFitnessMaverick,1 Arm Bottoms Up Kettlebell Bench Press | The Fitness Maverick Online Coaching,https://youtu.be/5wAND7K73yw,
