feed,title,long_url,short_url
YT:DeepMind,Veo 3 demo | Sailor and the sea,https://youtu.be/mCFMn0UkRt0,
YT:DeepMind,Veo 3 demo | Owl and badger,https://youtu.be/vv6Ryg5iyh8,
YT:DeepMind,Veo 3 demo | Duck interrogation,https://youtu.be/vEP4GCijXXo,
YT:DeepMind,Veo 3 demo | Dialog,https://youtu.be/QYnJ3qJ5qJQ,
YT:DeepMind,Veo 3 demo | Off-road rally,https://youtu.be/SPF4MGL7K5I,
YT:DeepMind,Veo 3 demo | Magical origami,https://youtu.be/KhcwvoJiP3I,
YT:DeepMind,Veo 3 demo | Irish coast,https://youtu.be/ffRaD7sY0TQ,
YT:DeepMind,Veo 3 demo | Sweet typing,https://youtu.be/tc00I7rtU2s,
YT:DeepMind,Veo 3 demo | Crystailine flowers bloom,https://youtu.be/34Omj__CeKk,
YT:DeepMind,Veo 3 demo | Forest spirit,https://youtu.be/TZKXpkh5V6U,
YT:DeepMind,Veo 3 demo | Classical violinist,https://youtu.be/o55ukJOIHBM,
YT:DeepMind,Veo 3 demo | Feather's journey,https://youtu.be/vcHxAwDwPOg,
YT:DeepMind,Veo 3 demo | Sizzling onions,https://youtu.be/5SJd35VkZtk,
YT:DeepMind,Veo 3 demo | Chrome city,https://youtu.be/BrMQffbI25o,
