feed,title,long_url,short_url
ArXiv:q-fin,Mean-variance-utility portfolio selection with time and state dependent risk aversion,https://arxiv.org/abs/2007.06510v2,
ArXiv:q-fin,Radner equilibrium and systems of quadratic BSDEs with discontinuous generators,https://arxiv.org/abs/2008.03500v1,
ArXiv:q-fin,A Natural Disasters Index,https://arxiv.org/abs/2008.03672v1,
ArXiv:q-fin,Obamacare and a Fix for the IRS Iteration,https://arxiv.org/abs/2008.03355v1,
ArXiv:q-fin,Transparency versus Performance in Financial Markets: The Role of CSR Communications,https://arxiv.org/abs/2008.03443v1,
ArXiv:q-fin,The Inverted Parabola World of Classical Quantitative Finance: Non-Equilibrium and Non-Perturbative Finance Perspective,https://arxiv.org/abs/2008.03623v1,
ArXiv:q-fin,Corporate Governance and Firms Financial Performance in the United Kingdom,https://arxiv.org/abs/2008.04048v1,
ArXiv:q-fin,Supervised Machine Learning Techniques: An Overview with Applications to Banking,https://arxiv.org/abs/2008.04059v1,
ArXiv:q-fin,"Crowd, Lending, Machine, and Bias",https://arxiv.org/abs/2008.04068v1,
ArXiv:q-fin,Insider Ownership and Dividend Payout Policy: The Role of Business Cycle,https://arxiv.org/abs/2008.04069v1,
