feed,title,long_url,short_url
ArXiv:q-fin,Prior knowledge distillation based on financial time series,https://arxiv.org/abs/2006.09247v4,
ArXiv:q-fin,Infinite horizon utility maximisation from inter-temporal wealth,https://arxiv.org/abs/2009.00972v2,
ArXiv:q-fin,Tight Bounds for a Class of Data-Driven Distributionally Robust Risk Measures,https://arxiv.org/abs/2010.05398v1,
ArXiv:q-fin,"Inflation, ECB and short-term interest rates: A new model, with calibration to market data",https://arxiv.org/abs/2010.05462v1,
ArXiv:q-fin,Optimal Trading with Differing Trade Signals,https://arxiv.org/abs/2006.13585v2,
ArXiv:q-fin,Semi-analytic pricing of double barrier options with time-dependent barriers and rebates at hit,https://arxiv.org/abs/2009.09342v3,
ArXiv:q-fin,The loss optimisation of loan recovery decision times using forecast cash flows,https://arxiv.org/abs/2010.05601v1,
ArXiv:q-fin,Towards Self-Regulating AI: Challenges and Opportunities of AI Model Governance in Financial Services,https://arxiv.org/abs/2010.04827v1,
ArXiv:q-fin,Differentially Private Secure Multi-Party Computation for Federated Learning in Financial Applications,https://arxiv.org/abs/2010.05867v1,
ArXiv:q-fin,Earnings Prediction with Deep Learning,https://arxiv.org/abs/2006.03132v2,
