feed,title,long_url,short_url
ArXiv,GPT-Augmented Reinforcement Learning with Intelligent Control for Vehicle Dispatching,https://arxiv.org/abs/2408.10286,
ArXiv,An End-to-End Reinforcement Learning Based Approach for Micro-View Order-Dispatching in Ride-Hailing,https://arxiv.org/abs/2408.10479,
ArXiv,QPO: Query-dependent Prompt Optimization via Multi-Loop Offline Reinforcement Learning,https://arxiv.org/abs/2408.10504,
ArXiv,Hokoff: Real Game Dataset from Honor of Kings and its Offline Reinforcement Learning Benchmarks,https://arxiv.org/abs/2408.10556,
ArXiv,TDS-CLIP: Temporal Difference Side Network for Image-to-Video Transfer Learning,https://arxiv.org/abs/2408.10688,
ArXiv,Offline Model-Based Reinforcement Learning with Anti-Exploration,https://arxiv.org/abs/2408.10713,
ArXiv,Knowledge Sharing and Transfer via Centralized Reward Agent for Multi-Task Reinforcement Learning,https://arxiv.org/abs/2408.10858,
ArXiv,The Evolution of Reinforcement Learning in Quantitative Finance,https://arxiv.org/abs/2408.10932,
ArXiv,Deep Reinforcement Learning for Network Energy Saving in 6G and Beyond Networks,https://arxiv.org/abs/2408.10974,
ArXiv,Accelerating Goal-Conditioned RL Algorithms and Research,https://arxiv.org/abs/2408.11052,
ArXiv,Efficient Reinforcement Learning in Probabilistic Reward Machines,https://arxiv.org/abs/2408.10381,
ArXiv,Representation Matters for Mastering Chess: Improved Feature Representation in AlphaZero Outperforms Switching to Transformers,https://arxiv.org/abs/2304.14918,
ArXiv,A Framework for Empowering Reinforcement Learning Agents with Causal Analysis: Enhancing Automated Cryptocurrency Trading,https://arxiv.org/abs/2310.09462,
ArXiv,HiBid: A Cross-Channel Constrained Bidding System with Budget Allocation by Hierarchical Offline Deep Reinforcement Learning,https://arxiv.org/abs/2312.17503,
ArXiv,SUBER: An RL Environment with Simulated Human Behavior for Recommender Systems,https://arxiv.org/abs/2406.01631,
