feed,title,long_url,short_url
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Speed up AWS Observability Deployments,https://youtu.be/hpy6x8CMke8,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Patch it to me,https://youtu.be/b3Bd6qhQjgo,
YT:AWS:Events,"AWS WWPS Summit | AWS On Air ft. Everything, everywhere, all at once- Monitoring and Observability",https://youtu.be/a8BbSDFuvo8,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Operating in a dynamic regulatory environment,https://youtu.be/_ZCVJAE6gc8,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Elevate your Observability Strategy with AIOps,https://youtu.be/XcxEFoN1Ebg,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Migrate and modernize with AWS Cloud Operations,https://youtu.be/QQFd74ehUVg,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Scaling your multi-accounts strategy,https://youtu.be/NZNYQXWOax0,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Monitoring EMR on EKS workloads using Prometheus and Grafana,https://youtu.be/MYPnqwxFa5Q,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Simplify operations with Amazon DevOps Guru,https://youtu.be/Hd3EEp4KV6E,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Proactive Compliance with AWS,https://youtu.be/Cs0itcqsPjk,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Decentralizing policy management in AWS Organizations,https://youtu.be/ARCOOolE9ic,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Get visibility into monitoring with Amazon CloudWatch dashboard,https://youtu.be/9g5HZimBhwY,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Automate ingestion of audit data from hybrid environments,https://youtu.be/99kFhnm_DW8,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. Monitor applications across multiple accounts,https://youtu.be/0YhNgWFqpxU,
YT:AWS:Events,AWS WWPS Summit | AWS On Air ft. From zero to managed and patched in 20 minutes,https://youtu.be/pS1B6lBshUY,
