feed,title,long_url,short_url
YT:AWS,Mapping the Future of Our Oceans with AI | XOCEAN | AWS Pioneers Project,https://youtu.be/ukrT3qEJyv8,
YT:AWS,Powering Smarter Surgeries with AI | Proximie | AWS Pioneers Project,https://youtu.be/Z_2W4rH1NVk,
YT:AWS,Reducing Construction Emissions with AI | Paebbl | AWS Pioneers Project,https://youtu.be/MBiXixkoq28,
YT:AWS,Expanding Access to Treatment with AI | myTomorrows | AWS Pioneers Project,https://youtu.be/2UDV5JSaBfw,
YT:AWS,AI Agents Augmenting Human Intelligence | Mindflow | AWS Pioneers Project,https://youtu.be/XCD8JNTXVPI,
YT:AWS,Accelerating Drug Discovery with AI | Iktos | AWS Pioneers Project,https://youtu.be/dY2lpRrJWp0,
YT:AWS,AI for Protecting Civilians | Hala Systems | AWS Pioneers Project,https://youtu.be/eTPSP1OkKeo,
YT:AWS,Empowering Carers with AI | CareMates | AWS Pioneers Project,https://youtu.be/MDVe9KeCpgc,
YT:AWS,Smart Mental Health Monitoring with AI | Callyope | AWS Pioneers Project,https://youtu.be/W3BZ-UfQoaA,
YT:AWS,Redefining Outpatient Care with AI | ETERNO | AWS Pioneers Project,https://youtu.be/j78BCut_5WU,
