feed,title,long_url,short_url
ArXiv,Monetary Evolution: How Societies Shaped Money from Antiquity to Cryptocurrencies,https://arxiv.org/abs/2501.10443,
ArXiv,"The Societal Implications of Blockchain Technology in the Evolution of Humanity as a ""Superorganism""",https://arxiv.org/abs/2501.10378,
ArXiv,Zaptos: Towards Optimal Blockchain Latency,https://arxiv.org/abs/2501.10612,
ArXiv,Revisiting Ensemble Methods for Stock Trading and Crypto Trading Tasks at ACM ICAIF FinRL Contest 2023-2024,https://arxiv.org/abs/2501.10709,
ArXiv,Blockchain-assisted Demonstration Cloning for Multi-Agent Deep Reinforcement Learning,https://arxiv.org/abs/2501.10938,
ArXiv,Bitcoin: A Non-Continuous Time System,https://arxiv.org/abs/2501.11091,
ArXiv,"Blockchain and Stablecoin Integration for Crowdfunding: A framework for enhanced efficiency, security, and liquidity",https://arxiv.org/abs/2501.11145,
ArXiv,Mapping network structures and dynamics of decentralised cryptocurrencies: The evolution of Bitcoin (2009-2023),https://arxiv.org/abs/2501.11416,
ArXiv,Blockchain Developer Experience: A Multivocal Literature Review,https://arxiv.org/abs/2501.11431,
ArXiv,Key Concepts and Principles of Blockchain Technology,https://arxiv.org/abs/2501.11707,
ArXiv,"SPID-Chain: A Smart Contract-Enabled, Polar-Coded Interoperable DAG Chain",https://arxiv.org/abs/2501.11794,
ArXiv,"Blockchain Security Risk Assessment in Quantum Era, Migration Strategies and Proactive Defense",https://arxiv.org/abs/2501.11798,
ArXiv,Multi-source Multi-level Multi-token Ethereum Dataset and Benchmark Platform,https://arxiv.org/abs/2501.11906,
ArXiv,BotDetect: A Decentralized Federated Learning Framework for Detecting Financial Bots on the EVM Blockchains,https://arxiv.org/abs/2501.12112,
ArXiv,A High-throughput and Secure Coded Blockchain for IoT,https://arxiv.org/abs/2310.08822,
ArXiv,Liquidity Fragmentation or Optimization? Analyzing Automated Market Makers Across Ethereum and Rollups,https://arxiv.org/abs/2410.10324,
ArXiv,Functional Data-Driven Quantile Model Averaging with Application to Cryptocurrencies,https://arxiv.org/abs/2310.01970,
