feed,title,long_url,short_url
RS,Immunoinformatics-Based Design of Broad-Spectrum Multi-Epitope Vaccines Targeting Mutations in Emerging SARS-CoV-2 Variants,https://www.researchsquare.com/article/rs-5200837/latest,https://da.gd/tKBfqf
RS,Interrogative approaches identify causes of physical impairment in those affected by post- COVID-19 morbidity (Long COVID) - an international multicenter observational study- Protocol),https://www.researchsquare.com/article/rs-5196946/latest,https://da.gd/QR6Of
RS,Increased Peritoneal Dialysis Associated Peritonitis Rate During Novel Coronavirus Pandemics,https://www.researchsquare.com/article/rs-4940589/latest,https://da.gd/5Yszp
RS,Investigating the Profile of Patients with Idiopathic Inflammatory Myopathies in the Post-COVID-19 Period: Emphasizing Myocardial Injury,https://www.researchsquare.com/article/rs-4886868/latest,https://da.gd/hVRTke
RS,The feasibility of using individual-level loyalty card data for disease surveillance: A pilot study on COVID-19,https://www.researchsquare.com/article/rs-5239099/latest,https://da.gd/H7pQQn
RS,Compartmentalised mucosal and blood immunity to SARS-CoV-2 associated with high seroprevalence before Delta wave in Africa,https://www.researchsquare.com/article/rs-4873950/latest,https://da.gd/1t4bp4
RS,Hasselt Corona Impact Study: Impact of COVID-19 on healthcare seeking in a small Dutch town,https://www.researchsquare.com/article/rs-4876940/latest,https://da.gd/rhCoh
RS,Assessing community vulnerability to initial COVID-19 spread in Florida ZIP Codes using Shapley additive explanations with random forest modeling,https://www.researchsquare.com/article/rs-4907544/latest,https://da.gd/plgCj
RS,COVID-19 and chronic liver disease: results from the 1219 patients French registry,https://www.researchsquare.com/article/rs-4800973/latest,https://da.gd/TQEJiq
RS,Evaluating the association between COVID-19 transmission and mobility in Omicron outbreaks in China,https://www.researchsquare.com/article/rs-3459613/latest,https://da.gd/i3ITQH
