feed,title,long_url,short_url
ArXiv,AWEMixer: Adaptive Wavelet-Enhanced Mixer Network for Long-Term Time Series Forecasting,https://arxiv.org/abs/2511.04722,
ArXiv,Conditional Neural ODE for Longitudinal Parkinson's Disease Progression Forecasting,https://arxiv.org/abs/2511.04789,
ArXiv,FoodRL: A Reinforcement Learning Ensembling Framework For In-Kind Food Donation Forecasting,https://arxiv.org/abs/2511.04865,
ArXiv,Less Is More: Generating Time Series with LLaMA-Style Autoregression in Simple Factorized Latent Spaces,https://arxiv.org/abs/2511.04973,
ArXiv,Carbon Price Forecasting with Structural Breaks: A Comparative Study of Deep Learning Models,https://arxiv.org/abs/2511.04988,
ArXiv,Predicting and forecasting reactivity and flux using long short-term memory models in pebble bed reactors during run-in,https://arxiv.org/abs/2511.05118,
ArXiv,QuAnTS: Question Answering on Time Series,https://arxiv.org/abs/2511.05124,
ArXiv,No One-Model-Fits-All: Uncovering Spatio-Temporal Forecasting Trade-offs with Graph Neural Networks and Foundation Models,https://arxiv.org/abs/2511.05179,
ArXiv,Embedding-Space Data Augmentation to Prevent Membership Inference Attacks in Clinical Time Series Forecasting,https://arxiv.org/abs/2511.05289,
ArXiv,Synapse: Adaptive Arbitration of Complementary Expertise in Time Series Foundational Models,https://arxiv.org/abs/2511.05460,
ArXiv,RNN(p) for Power Consumption Forecasting,https://arxiv.org/abs/2209.01378,
ArXiv,Robust Forecasting of Sequences with Periodically Stationary Long Memory Multiplicative Seasonal Increments Observed with Noise and Cointegrated Sequences,https://arxiv.org/abs/2511.04905,
ArXiv,Exponential Spatiotemporal GARCH Model with Asymmetric Volatility Spillovers,https://arxiv.org/abs/2511.05126,
ArXiv,Words Matter: Forecasting Economic Downside Risks with Corporate Textual Data,https://arxiv.org/abs/2511.04935,
