feed,title,long_url,short_url
GitHub:docker-compose,v5.1.3,https://github.com/docker/compose/releases/tag/v5.1.3,
GitHub:docker-compose,v5.1.2,https://github.com/docker/compose/releases/tag/v5.1.2,
GitHub:docker-compose,v5.1.1,https://github.com/docker/compose/releases/tag/v5.1.1,
GitHub:docker-compose,v5.1.0,https://github.com/docker/compose/releases/tag/v5.1.0,
GitHub:docker-compose,v5.0.2,https://github.com/docker/compose/releases/tag/v5.0.2,
GitHub:docker-compose,v5.0.1,https://github.com/docker/compose/releases/tag/v5.0.1,
GitHub:docker-compose,"v5.0.0 ""Mont Blanc""",https://github.com/docker/compose/releases/tag/v5.0.0,
GitHub:docker-compose,v5.0.0-rc.2,https://github.com/docker/compose/releases/tag/v5.0.0-rc.2,
GitHub:docker-compose,v5.0.0-rc.1,https://github.com/docker/compose/releases/tag/v5.0.0-rc.1,
GitHub:docker-compose,v2.40.3,https://github.com/docker/compose/releases/tag/v2.40.3,
